concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
basic terms,USA-FED-U.S. Bureau of the Census,,,16.188,,,,,,,,"Dry land and land temporarily or partly covered by water such as marshes, swamps, and river flood plains (omitting tidal flats below mean high tide); streams, slough, estuaries, and canals less than one eight of a statute mile wide; and lakes, reservoirs, and ponds less than 40 acres in area"
"basic terms, forest/forest land, general, land cover",Closed,,,,,,,5.0,,,,"forest – Formed by trees at least 5 m tall with their crowns interlocking, covering 65% of the sky or more"
"basic terms, forest/forest land, general, land cover",Closed,,,,,,,5.0,,,,Formed by trees at least 5 meters tall with their crowns interlocking. Total canopy cover is greater than 40%
"basic terms, forest/forest land, general, land cover",Recommended Definition,,,,,,,5.0,,,,"While a definition of ""forest"" that is globally acceptable and appropriate for monitoring using standard remote sensing options will necessarily be based on a small set of easily measured parameters, there are dangers when simple definitions are applied locally. At the very least, we recommend that "
"basic terms, forest/forest land, general, land cover",Remote sensing,,,0.5,,,,7.0,,,,Land with tree crown cover of more than 20 % of the area. Trees should be able to grow to a height of 7 m. Minimum area outside continuous forest: 0.5 ha. Minimum width outside continuous forest: 15 m. (minimum size stand; for instance 15 m x 333 m). (Köhl and Päivinen 1996
"basic terms, forest/forest land, general, land cover",Riverine,,,,,75.0,100.0,1.0,,,,75-100% tree cover up to 20+ m. Shrub <10% if > 1m high
"basic terms, forest/forest land, general, land cover",SAF,,,,,10.0,,,,,,2001) A forest is considered an area with at least 10 per cent tree canopy cover
"basic terms, forest/forest land, general, land cover",SRM,,,,,25.0,,,,,,1980) Land on which the native vegetation (Climax or natural potential) is dominated by trees with at least 25 percent crown coverage at maturity of the trees. (SRM 1980
"basic terms, forest/forest land, general, land cover",,,,,,,,10.0,,,,"A continuous stand of trees > 10 m high, with interlocking crowns. There are many kinds of forests and ways to classify them, for example, by ecozone, vegetation type, climate, dominant species, conformation. and"
"basic terms, forest/forest land, general, land cover",or equivalent stocking level,,,,,10.0,,,,,,"A land area with a minimum 10% tree crown coverage , or formerly having such tree cover and that is being naturally or artificially regenerated or is being afforested"
"basic terms, forest/forest land, general, land cover",,,,0.5,,,,,,20.0,,"A land spanning more than 0.5 ha with trees higher than 5 metres and a crown cover of more than 10%, or trees able to reach these thresholds in situ. For tree rows or shelterbelts, a minimum width of 20 m is required. It does not include land that is predominantly under agricultural or urban land us"
"basic terms, forest/forest land, general, land cover",White,,1983,,,,,10.0,,,,All vegetation comprising a continuous stand of trees at least 10m tall with interlocking crowns
"basic terms, forest/forest land, general, land cover",,,,,,40.0,,,,,,"Any area with over 40 per cent crown cover. This works well with broadleaf or mixed coniferous and broadleaf forests but less well with purely coniferous forests, where canopy cover is often less than 40 per cent"
"basic terms, forest/forest land, general, land cover",,,,,,61.0,,,,,,"Areas dominated by trees with a total canopy cover of 61 % or more, tree crowns usually interlocking. and"
"basic terms, forest/forest land, general, land cover",http://home.comcast.net/~gyde/africover.html,,,,,,,6.0,,,,"Areas on which vegetation is dominated by woody perennial plants having 6 meters in height or greater. Examples are loblolly pine forests, black spruce swamps, live oak stands, pinyon-juniper, maple, hickory, larch, and birch. Includes areas on which vegetation is dominated by orchards or groves for"
"basic terms, forest/forest land, general, land cover",,,,,,10.0,,,,,,"Areas with a? minimum of 10% crown cover of trees and/or bamboos, generally associated with wild flora and fauna and natural soil conditions, and are not subject to agricultural practices. Note that in some countries, some areas are statutorily defined as ?Forest Area? that contain no tree cover"
"basic terms, forest/forest land, general, land cover",,,,0.5,,,,,,,,"Combination of trees, scrub, grass, and other types of plants, as well as animals and microorganisms that are interrelated biologically in their growth and provide impact on each other and the environment. The term ""forest"" is used also to describe a landscape component, raw material, or an object o"
"basic terms, forest/forest land, general, land cover",p. 1,,1995,,,,,10.0,,,,"Continuous stands of trees at least 10 meters tall, with interlocking crowns. Wass"
"basic terms, forest/forest land, general, land cover",,,,,,26.0,60.0,,,,,Forest - 1- Open; 26-60% canopy closure. 2 - Closed; 60-100% canopy closure. Urban areas with a lot of large trees are not forests
"basic terms, forest/forest land, general, land cover",,,,,,76.0,100.0,,,,,Forest: 76-100% Tree cover up to 20+ m
"basic terms, forest/forest land, general, land cover",Tree cover or canopy cover,,,,,100.0,,,,,,"Forest Cover - The proportion of the land area which has foliage or canopy directly overhead. Thus a dense, closed forest would have 100 percent canopy cover while a woodland of scattered trees might have 5 percent or 10 percent cover"
"basic terms, forest/forest land, general, land cover",,,,5.0,,,,,,,,"Forest land comprises the actual forests areas dominated by trees or shrubs capable of producing wood or other forest products. Minimum surface area is: 0,5 ha. Areas should be covered by forest trees for at least 20% measured as the vertical projection from the trees for a mature stand. Unstocked f"
"basic terms, forest/forest land, general, land cover",perennial woody plants taller than five meters at maturity,,,0.5,,10.0,,,,,,"Forest systems: Systems in which trees are the predominant life forms. Statistics reported in this assessment are based on areas that are dominated by trees , where the tree crown cover exceeds 10%, and where the area is more than 0.5 hectares. ‘‘Open forests’’ have a canopy cover between 10% and 40"
"basic terms, forest/forest land, general, land cover",leaf/branch,,,,,60.0,,,,,,"FOREST VEGETATION; more than 60% canopy cover above a level 8m off the ground A suggestion for an improved vegetation scheme for local and global mapping and monitoring. Jonathan M. Adams Submitted to Environmental Management, January 1998"
