title_1,title_2,title_3,title_4,bold_terms,sources,urls,references,definition,organization,country,year
,,,,,,,,"DEFINITIONS OF FOREST, DEFORESTATION, AFFORESTATION, AND REFORESTATION",,,
,,,,,coordinator,,,H. Gyde Lund Forest Information Services Email: gyde@comcast.net,coordinator,,
,,,,,,,,Last updated: 19 May 2026,,,
,,,,Abstract,FCCC,http://www.unfccc.de,,"The Third Conference of the Parties to the United Nations Framework Convention on Climate Change held 1-11 December 1997 in Kyoto, Japan called for, among other things, the reporting on emission sinks resulting ""from direct human-induced land use change and forestry activities, limited to afforestation, reforestation and deforestation since 1990."" The FCCC Secretariat called for clarification of the use of these terms as they are used in various parts of the world [see: , Official Documents, Subsidiary Body for Scientific and Technological Advice (SBSTA) Document FCCC/SBSTA/1998/INF.1]. I initially developed this paper at the request of Dr. H. Fred Kaiser, USDA Forest Service in 1998.It has since been continuosly updated to since then. This paper lists various definitions that have been used or are in use for deforestation, afforestation, and reforestation. To have a clear understanding of these terms, I also need to define tree, forest, degradation and other terms. The definitions we present were derived from a search via the Internet,from individual input and from Prüller (1996). We list the sources used and additional contacts at the end of this paper. I also present a short discussion and comparison at the end of each set of definitions",FCCC,,
,,,,,,,,See also,,,
,,,,,,,,"Lund, H. Gyde. 2018 rev. Definitions of Forest State, Stage, Origin, and Management. [[Online publication], Gainesville, VA: Forest Information Services. Misc. pagination. DOI10.13140/RG.2.2.14093.03042",,,
,,,,,,,,"Lund, H. Gyde. 2018 rev. Definitions of Land Use Terms. [Online publication], Gainesville, VA: Forest Information Services. Misc. pagination. DOI10.13140/RG.2.2.20803.91689",,,
,,,,,LFC,,,"Lund, H. Gyde. 1999. Definition of Low Forest Cover . Report prepared for IUFRO. Manassas, VA. Forest Information Services. 22 p. DOI: 10.13140/RG.2.1.2203.6969",LFC,,
,,,,,,,,Our thanks to all those who responded to our emails and provided valuable input,,,
,,,,,,,,"Keywords: Climate change, forest, tree, afforestation, deforestation, reforestation, plantations",,,
,,,,,,,,"Cite as: Lund, H. Gyde. 2018 rev* Definitions of Forest, Deforestation, Afforestation, and Reforestation. [Online] Gainesville, VA: Forest Information Services. Misc. pagination: Note, this paper has been continuously updated since 1998. DOI: 10.13140/RG.2.1.2364.9760",,,
INTRODUCTION,,,,,,,,"Our search focused on the key terms - forest, afforestation, deforestation and reforestation. However, we found that we need to discuss and have a common of understanding of other terms as well. Groupings are based upon literal interpretations of the definitions. The decision on which terms and definitions presented here must be considered in light with the end point in mind. Most importantly, we need a clear understanding of what it is that we are interested in and how we wish to use the information. It may turn out that none of the terms listed below are what is needed",,,
BASIC TERMS,,,,,Convention to Combat Desertification,,,"Before we can get into a discussion of Afforestation, Deforestation, and Afforestation, we need to have an understanding of some basic terms and concepts. These include land - (the terrestrial bio-productive system that comprises soil vegetation, other biota, and the ecological and hydrological processes that operate within the system ), land use, land cover, tree, forest, natural forest, semi-natural forest, plantation, stocking and forestry. Here are some of the definitions we found",Convention to Combat Desertification,,
BASIC TERMS,,,,Land,European Environment Agency,http://glossary.eea.europa.eu/EEAGlossary/L/land,,"Land - The terrestrial bio-productive system that comprises soil vegetation, other biota, and the ecological and hydrological processes that operate within the system",European Environment Agency,,
BASIC TERMS,,,,Land,UN-FA0 2004,http://www.fao.org/nr/lada/index.php?option=com_docman&task=doc_download&gid=15&Itemid=157,,"A delineable area encompassing all attributes of the biosphere immediately above or below the earth surface, including the soil, terrain, surface hydrology, the near-surface climate, sediments and associated groundwater reserve, the biological resource, as well as the human settlements pattern and infrastructure resulting from human activity. Ponce Hernandez and Koohafkan (FAO, 2004",UN-FA0,,2004
BASIC TERMS,,,,Land,UN-FAO 1995 and 1997,http://www.rri.wvu.edu/WebBook/Briassoulis/contents.htm; http://www.fao.org/nr/lada/index.php?option=com_docman&task=doc_download&gid=15&Itemid=157,,"A delineable area of the earth’s terrestrial surface, encompassing all attributes of the biosphere immediately above or below this surface, including those of the near-surface climate, the soil and terrain forms, the surface hydrology (including shallow lakes, rivers, marshes, and swamps), the near-surface sedimentary layers and associated groundwater reserve, the plant and animal populations, the human settlement pattern and physical results of past and present human activity (terracing, water storage or drainage structures, roads, buildings, etc.). (FAO 1995, 6). (W. Sombroek, Land resources evaluation and the role of land-related indicators, FAO Land and Water Bulletin 5, 1997",UN-FAO  and,,1995
BASIC TERMS,,,,Land,USA-FED-U.S. Bureau of the Census,http://ifdc.nres.uiuc.edu/publications/pdf/forestresources02/pg81-86.pdf,,"Dry land and land temporarily or partly covered by water such as marshes, swamps, and river flood plains (omitting tidal flats below mean high tide); streams, slough, estuaries, and canals less than one eight of a statute mile wide; and lakes, reservoirs, and ponds less than 40 acres in area",USA-FED-U.S. Bureau of the Census,United States,
BASIC TERMS,,,,Land,"including shallow lakes, rivers, marshes and swamps",http://www.ecs.co.sz/seap/env_articles_policy_pliwgr_intro.htm,,"A delineable area of the earth's terrestrial surface, encompassing all attributes of the biosphere immediately above or below this surface, including those of the near-surface climate, the soil and terrain forms, the surface hydrology , the near-surface sedimentary layers and associated groundwater reserve, the plant and animal populations, the human settlement pattern and physical results of past and present human activity (terracing, water storage or drainage structures, roads, buildings, etc.). and www.pamagic.org/DataStds/Current/DataStandards_LandUse_05-22-02.pdf","including shallow lakes, rivers, marshes and swamps",,
BASIC TERMS,,,,Land,,http://www.css.cornell.edu/landeval/glossary.htm,,"An area of the earth's surface, the characteristics of which embrace all reasonably stable, or predictably cyclic, attributes of the biosphere vertically above and below this area, including those of the atmosphere, the soil and underlying geology, the hydrology, the plant and animal populations, and the results of past and present human activity, to the extent that these attributes exert a significant influence on present and future uses of the land by humans. www.itc.nl/~rossiter/teach/glossary.html and",,,
BASIC TERMS,,,,Land,Mücher et al 1993,,,"The physical environment, including climate, relief, soils, hydrology and vegetation, to the extent that these influence potential for land use",Mücher et al,,1993
BASIC TERMS,,,,Land classification,,http://www-markinfo.slu.se/eng/soildes/ago/agodef.html,,"is based on the status of the land at the time of inventory, ignoring the possibilities for production increasing measures. Expected changes in land use must also be ignored unless they have already taken place",,,
BASIC TERMS,,,,Land conversion,"Washington Department of Ecology, 1992",http://www.p2pays.org/ref%5C04%5C03686/ch4-8.html,,"A change in land use, function, or purpose","Washington Department of Ecology,",,1992
BASIC TERMS,,,,,Kalensky et al. 2002,,,"Land cover or land use class - An abstract representation of specific land cover or land use defined by classification criteria. It is important to note that several land use classes may be associated with a single land cover class. For example, a specific map unit classified as forest may be associated with several land use classes, such as wood production, watershed protection, tourism, etc",Kalensky et al,,2002
BASIC TERMS,,,,Land Cover use,USA-FED-DA and Census Bureau,http://www.allcountries.org/uscensus/383_land_cover_use_by_state.html,,"Land Cover/use . A term that includes categories of land cover and categories of land use. Land cover is the vegetation or other kind of material that covers the land surface. Land use is the purpose of human activity on the land; it is usually, but not always, related to land cover. The NRI uses the term ""land cover/use"" to identify the categories that account for all the surface area in the United States [BS-1982, NRI-92] ftp://ftp-fc.sc.egov.usda.gov/NCGC/products/nri/2004range/chapter6.pdf and",USA-FED-DA and Census Bureau,United States,
BASIC TERMS,LAND COVER,,,,Australia – Tasmania 2003,http://soer.justice.tas.gov.au/2003/lan/2/issue/38/ataglance.php,,"Land cover refers to the physical state of the land surface and includes vegetation, soil, rock, water and man-made structures. It represents the cumulative consequence of human influence and ecological processes over many thousands of years",– Tasmania,Australia,2003
BASIC TERMS,LAND COVER,,,,Australia 2001,http://www.environment.gov.au/soe/2001/land/glossary.html,,"The physical state of the land surface, including vegetation, soil, rock and human made structures, but specifically used in relation to vegetational changes, to describe the proportion of land covered by vegetation",,Australia,2001
BASIC TERMS,LAND COVER,,,,European Environment Agency,http://glossary.eea.europa.eu/EEAGlossary/L/land_cover; http://ec.europa.eu/agriculture/publi/landscape/gloss.htm,,"Land cover corresponds to a (bio)physical description of the earth's surface. It is that which overlays or currently covers the ground. This description enables various biophysical categories to be distinguished - basically, areas of vegetation (trees, bushes, fields, lawns), bare soil, hard surfaces (rocks, buildings) and wet areas and bodies of water (watercourses, wetlands). and",European Environment Agency,,
BASIC TERMS,LAND COVER,,,,ICRAF - 2017,http://dx.doi.org/10.5716/WP16079.PDF,,"Physical material at the surface of the earth, e.g. vegetation or open water, as observable from remote sensing",ICRAF,,2017
BASIC TERMS,LAND COVER,,,,OECD,http://stats.oecd.org/glossary/detail.asp?ID=6489,,"Land cover reflects the (bio) physical dimension of the earth’s surface and corresponds in some regard to the notion of ecosystems. Typical examples for land cover categories are built-up areas, grassland, forests or rivers and lakes",OECD,,
BASIC TERMS,LAND COVER,,,,UN-EP,http://www.eapap.unep.org/lc/cd/html/training/module1.html,,The physical attributes of the land that can be seen readily as opposed to the land use which describes a pattern of human activities undertaken within a social and economic context,UN-EP,,
BASIC TERMS,LAND COVER,,,,UN-EP/EAP.AP,http://www.rrcap.unep.org/lc/cd/html/training/module1.html,,"Land cover can simply be defined as ""the physical attributes of the land that can be seen readily as opposed to the land use which describes a pattern of human activities undertaken within a social and economic context""",UN-EP/EAP.AP,,
BASIC TERMS,LAND COVER,,,,USA-FED-Climate Change Science Program 2003,http://www.climatescience.gov/Library/stratplan2003/final/annexd.htm#L,,"The vegetation and artificial built-up materials covering the land surface. This includes areas of vegetation (forests, shrublands, crops, deserts, lawns), bare soil, developed surfaces (paved land, buildings), and wet areas and bodies of water (watercourses, wetlands",USA-FED-Climate Change Science Program,United States,2003
BASIC TERMS,LAND COVER,,,,USA-FED-EPA 2006,http://www.epa.gov/urban/glossary.htm; http://www.epa.gov/indicate/roe/html/roeAppDf.htm#f; http://www.epa.gov/indicators/roe/html/roeGlossL.htm,,"The ecological status and physical structure of vegetation on the land surface. What can be seen on the landscape - essentially the vegetation and other physical characteristics. Land cover is often mapped using remotely sensed data as cover types can be delineated based on appearance or their spectral reflectance. 2006. , , and",USA-FED-EPA,United States,2006
